,Group,recall_t,precision_t,auc_t,specificity_t,npv_t,accuracy_t,weighted_sensitivity_t,weighted_ppv_t,weighted_specificity_t,weighted_npv_t,weighted_accuracy_t,recall_v,precision_v,auc_v,specificity_v,npv_v,accuracy_v,weighted_sensitivity_v,weighted_ppv_v,weighted_specificity_v,weighted_npv_v,weighted_accuracy_v
0,park_v_control,0.9789473684210527,1.0,0.9894736842105263,1.0,0.95,0.9849624060150376,0.9789473684210527,1.0,1.0,0.979381443298969,0.9894736842105263,1.0,0.896551724137931,0.8125,0.625,1.0,0.9117647058823529,1.0,0.7272727272727273,0.625,1.0,0.8125
1,msa_psp_v_pd,0.9361702127659575,0.9777777777777777,0.9578810247503257,0.9795918367346939,0.9411764705882353,0.9583333333333334,0.9361702127659575,0.9786654561960962,0.9795918367346939,0.9388264669163545,0.9578810247503257,0.75,0.9230769230769231,0.8194444444444443,0.8888888888888888,0.6666666666666666,0.8,0.75,0.8709677419354839,0.8888888888888888,0.7804878048780488,0.8194444444444444
2,msa_v_pd_psp,0.7272727272727273,0.7272727272727273,0.8230958230958231,0.918918918918919,0.918918918918919,0.875,0.7272727272727273,0.8996960486322187,0.918918918918919,0.7711340206185566,0.8230958230958232,0.625,0.625,0.7242647058823529,0.8235294117647058,0.8235294117647058,0.76,0.625,0.7798165137614679,0.8235294117647058,0.6871165644171779,0.7242647058823529
3,psp_v_pd_msa,0.92,0.8518518518518519,0.931830985915493,0.9436619718309859,0.9710144927536232,0.9375,0.92,0.9422965954991345,0.9436619718309859,0.9218492019812878,0.931830985915493,0.75,0.75,0.8161764705882352,0.8823529411764706,0.8823529411764706,0.84,0.75,0.864406779661017,0.8823529411764706,0.7792207792207793,0.8161764705882353
4,psp_v_msa,0.9642857142857143,1.0,0.9821428571428572,1.0,0.9565217391304348,0.98,0.9642857142857143,1.0,1.0,0.9655172413793103,0.9821428571428572,0.8,0.6666666666666666,0.775,0.75,0.8571428571428571,0.7692307692307693,0.8,0.7619047619047619,0.75,0.7894736842105263,0.775
