,Group,recall_t,precision_t,auc_t,specificity_t,npv_t,accuracy_t,weighted_sensitivity_t,weighted_ppv_t,weighted_specificity_t,weighted_npv_t,weighted_accuracy_t,recall_v,precision_v,auc_v,specificity_v,npv_v,accuracy_v,weighted_sensitivity_v,weighted_ppv_v,weighted_specificity_v,weighted_npv_v,weighted_accuracy_v
0,park_v_control,0.9578947368421052,1.0,0.9789473684210526,1.0,0.9047619047619048,0.9699248120300752,0.9578947368421052,1.0,1.0,0.9595959595959597,0.9789473684210526,1.0,0.9629629629629629,0.9375,0.875,1.0,0.9705882352941176,1.0,0.8888888888888888,0.875,1.0,0.9375
1,msa_psp_v_pd,0.6595744680851063,0.8611111111111112,0.7787668258792879,0.8979591836734694,0.7333333333333333,0.78125,0.6595744680851063,0.8660205245153934,0.8979591836734694,0.7251051893408135,0.7787668258792879,0.6875,0.9166666666666666,0.7881944444444444,0.8888888888888888,0.6153846153846154,0.76,0.6875,0.8608695652173912,0.8888888888888888,0.7398843930635838,0.7881944444444444
2,msa_v_pd_psp,0.5909090909090909,0.48148148148148145,0.7008599508599508,0.8108108108108109,0.8695652173913043,0.7604166666666666,0.5909090909090909,0.75748031496063,0.8108108108108109,0.6646525679758308,0.7008599508599509,0.5,0.4,0.5735294117647058,0.6470588235294118,0.7333333333333333,0.6,0.5,0.5862068965517241,0.6470588235294118,0.5641025641025642,0.5735294117647058
3,psp_v_pd_msa,1.0,0.2604166666666667,0.5,0.0,,0.2604166666666667,1.0,0.5,0.0,,0.5,1.0,0.32,0.5,0.0,,0.32,1.0,0.5,0.0,,0.5
4,psp_v_msa,0.6428571428571429,0.6666666666666666,0.6168831168831168,0.5909090909090909,0.5652173913043478,0.62,0.6428571428571429,0.6111111111111112,0.5909090909090909,0.6232876712328768,0.6168831168831169,0.6,0.42857142857142855,0.55,0.5,0.6666666666666666,0.5384615384615384,0.6,0.5454545454545454,0.5,0.5555555555555556,0.55
