,Group,recall_t,precision_t,auc_t,specificity_t,npv_t,accuracy_t,weighted_sensitivity_t,weighted_ppv_t,weighted_specificity_t,weighted_npv_t,weighted_accuracy_t,recall_v,precision_v,auc_v,specificity_v,npv_v,accuracy_v,weighted_sensitivity_v,weighted_ppv_v,weighted_specificity_v,weighted_npv_v,weighted_accuracy_v
0,park_v_control,0.954045954045954,0.9906639004149378,0.9571114725981983,0.9601769911504425,0.8250950570342205,0.9551752241238793,0.954045954045954,0.9599313286396044,0.9601769911504425,0.9543259831380457,0.9571114725981983,0.9727626459143969,0.9960159362549801,0.9763813229571985,0.98,0.875,0.9739413680781759,0.9727626459143969,0.979854197695383,0.98,0.9729583558680369,0.9763813229571985
1,msa_psp_v_pd,0.0,0.0,0.5,1.0,0.8250497017892644,0.8250497017892644,0.0,,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.8531746031746031,0.8531746031746031,0.0,,1.0,0.5,0.5
2,msa_v_pd_psp,0.0,0.0,0.5,1.0,0.9353876739562624,0.9353876739562624,0.0,,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.9285714285714286,0.9285714285714286,0.0,,1.0,0.5,0.5
3,psp_v_pd_msa,0.0,0.0,0.5,1.0,0.889662027833002,0.889662027833002,0.0,,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.9246031746031746,0.9246031746031746,0.0,,1.0,0.5,0.5
4,psp_v_msa,0.7,0.7526881720430108,0.6857142857142857,0.6714285714285714,0.6103896103896104,0.6882352941176471,0.7,0.6805555555555556,0.6714285714285714,0.6911764705882353,0.6857142857142857,0.6,0.6923076923076923,0.49230769230769234,0.38461538461538464,0.29411764705882354,0.5348837209302325,0.6,0.4936708860759493,0.38461538461538464,0.49019607843137253,0.49230769230769234
