,Group,recall_t,precision_t,auc_t,specificity_t,npv_t,accuracy_t,weighted_sensitivity_t,weighted_ppv_t,weighted_specificity_t,weighted_npv_t,weighted_accuracy_t,recall_v,precision_v,auc_v,specificity_v,npv_v,accuracy_v,weighted_sensitivity_v,weighted_ppv_v,weighted_specificity_v,weighted_npv_v,weighted_accuracy_v
0,park_v_control,0.0,0.0,0.5,1.0,0.18418907905460472,0.18418907905460472,0.0,,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.16286644951140064,0.16286644951140064,0.0,,1.0,0.5,0.5
1,msa_psp_v_pd,1.0,0.8301886792452831,0.9783132530120482,0.9566265060240964,1.0,0.9642147117296223,1.0,0.9584295612009238,0.9566265060240964,1.0,0.9783132530120482,0.7837837837837838,0.5370370370370371,0.8337523570081711,0.8837209302325582,0.9595959595959596,0.8690476190476191,0.7837837837837838,0.8708100558659218,0.8837209302325582,0.8034285714285714,0.833752357008171
2,msa_v_pd_psp,0.046153846153846156,0.6,0.5220142238208125,0.997874601487779,0.938061938061938,0.9363817097415507,0.046153846153846156,0.9559769725702675,0.997874601487779,0.5112793921777227,0.5220142238208125,0.05555555555555555,0.3333333333333333,0.5235042735042735,0.9914529914529915,0.9317269076305221,0.9246031746031746,0.05555555555555555,0.8666666666666667,0.9914529914529915,0.512141280353201,0.5235042735042735
3,psp_v_pd_msa,1.0,0.9568965517241379,0.9972067039106145,0.994413407821229,1.0,0.9950298210735586,1.0,0.9944444444444444,0.994413407821229,1.0,0.9972067039106145,0.6842105263157895,0.5416666666666666,0.8185001129433024,0.9527896995708155,0.9736842105263158,0.9325396825396826,0.6842105263157895,0.9354539839407042,0.9527896995708155,0.7510683760683761,0.8185001129433025
4,psp_v_msa,0.88,0.967032967032967,0.9185714285714286,0.9571428571428572,0.8481012658227848,0.9117647058823529,0.88,0.9535603715170279,0.9571428571428572,0.8885941644562334,0.9185714285714286,0.7666666666666667,0.9583333333333334,0.8448717948717949,0.9230769230769231,0.631578947368421,0.813953488372093,0.7666666666666667,0.9088145896656534,0.9230769230769231,0.7982261640798226,0.844871794871795
